iter	Logloss
0	0.2584574292
1	0.1211311519
2	0.0807777887
3	0.05912242786
4	0.05198921923
5	0.04769850842
6	0.04482881565
7	0.04249032421
8	0.04088728977
9	0.04024530047
10	0.03986954244
11	0.03950916048
12	0.03923120825
13	0.0389273454
14	0.03876826161
15	0.03858061796
16	0.03834165755
17	0.03825027919
18	0.03811675912
19	0.03798342673
20	0.03786813889
21	0.03779253027
22	0.03772021748
23	0.03764103804
24	0.03760514894
25	0.03750714142
26	0.03745104772
27	0.03734684238
28	0.03730072811
29	0.03722794559
30	0.03719611644
31	0.03703270944
32	0.03696965626
33	0.03692973895
34	0.03688129472
35	0.03681249589
36	0.0366940956
37	0.03666321627
38	0.03663010692
39	0.03656299139
40	0.03653438857
41	0.03651216713
42	0.03645758893
43	0.03642278064
44	0.03639983895
45	0.03635483383
46	0.03630133372
47	0.03628713964
48	0.03622172253
49	0.03618971292
50	0.03616276297
51	0.03610442471
52	0.0360734005
53	0.03605823057
54	0.03601501295
55	0.03599982834
56	0.03598192046
57	0.03595474323
58	0.03594658995
59	0.03592680691
60	0.03590048139
61	0.03585919106
62	0.03583975792
63	0.0358325652
64	0.03580319112
65	0.03578026435
66	0.0357521233
67	0.03573311199
68	0.0356624281
69	0.0356439412
70	0.03561998411
71	0.03560203605
72	0.03558415645
73	0.03556573583
74	0.0355538419
75	0.03554000998
76	0.03552379793
77	0.03551080395
78	0.03547395986
79	0.0354340751
80	0.0354295799
81	0.03541682403
82	0.0353967202
83	0.0353878085
84	0.03537536783
85	0.0353603142
86	0.03533604621
87	0.03532265948
88	0.03531023591
89	0.03530787097
90	0.03529418621
91	0.03528292923
92	0.03526272318
93	0.03525542915
94	0.03523576296
95	0.03522187674
96	0.03520159809
97	0.03519453274
98	0.03517567677
99	0.03516810814
100	0.03516680658
101	0.03516245213
102	0.03515256045
103	0.03514992846
104	0.03514505537
105	0.03512513442
106	0.03510028394
107	0.03509248617
108	0.03508990913
109	0.03508559827
110	0.03508522405
111	0.03507413631
112	0.03506831203
113	0.0350571154
114	0.03505277651
115	0.03505275753
116	0.03505074844
117	0.03504462595
118	0.03502503749
119	0.03501736417
120	0.03500214359
121	0.035002109
122	0.03499890597
123	0.03499420907
124	0.03499054363
125	0.03498416966
126	0.03497714504
127	0.0349607488
128	0.03494920462
129	0.03491017989
130	0.0349034013
131	0.03490007153
132	0.0348997454
133	0.03489282631
134	0.03486597618
135	0.0348574026
136	0.03485267879
137	0.03484734367
138	0.03483994201
139	0.03483365764
140	0.03482640507
141	0.03482309721
142	0.03481433295
143	0.03481134588
144	0.03480869979
145	0.03480033178
146	0.03479064196
